Date,Open,High,Low,Close,Adj Close,Volume
2007-05-18,21.950001,22.1,21.950001,22.1,11.433259,10000.0
2007-05-21,22.1,22.1,21.700001,21.799999,11.278054,339564.0
2007-05-22,21.6,21.6,21.1,21.450001,11.096987,134137.0
2007-05-23,21.5,21.5,21.4,21.440001,11.091811,372824.0
2007-05-24,22.25,22.25,21.0,21.200001,10.96765,203800.0
2007-05-25,20.700001,21.0,20.700001,20.700001,10.708978,336662.0
2007-05-29,20.6,20.65,20.6,20.629999,10.672765,535201.0
2007-05-30,20.5,20.5,20.25,20.4,10.553776,264690.0
2007-05-31,20.700001,21.0,20.5,21.0,10.864182,210843.0
2007-06-01,21.0,23.0,20.99,22.1,11.433259,266452.0
2007-06-04,22.0,22.0,21.5,21.9,11.329789,28492.0
2007-06-05,22.0,22.1,21.700001,22.1,11.433259,416356.0
2007-06-06,22.389999,22.389999,21.0,22.0,11.381522,674856.0
2007-06-07,21.700001,22.0,21.5,21.700001,11.226322,185000.0
2007-06-08,21.0,21.5,21.0,21.0,10.864182,1201300.0
2007-06-11,22.4,22.4,21.07,21.6,11.174588,6790.0
2007-06-12,21.5,21.5,21.25,21.25,10.993517,27660.0
2007-06-13,21.0,22.0,20.5,21.98,11.371178,497020.0
2007-06-14,21.9,23.0,21.9,22.280001,11.52638,47399.0
2007-06-15,22.799999,22.799999,22.0,22.5,11.640195,67344.0
2007-06-18,22.950001,23.4,22.799999,22.799999,11.795397,33827.0
2007-06-19,23.0,23.25,22.5,22.549999,11.666061,143797.0
2007-06-20,22.219999,23.700001,22.200001,22.24,11.505686,181570.0
2007-06-21,22.25,22.25,22.0,22.110001,11.438433,76880.0
2007-06-22,22.700001,22.700001,22.200001,22.6,11.69193,144000.0
2007-06-25,22.200001,23.0,22.15,22.75,11.769529,21690.0
2007-06-26,22.5,22.5,22.1,22.15,11.459125,676775.0
2007-06-27,22.15,22.15,22.0,22.0,11.381522,237951.0
2007-06-28,22.25,22.459999,22.25,22.25,11.510858,141700.0
2007-06-29,22.25,22.25,22.15,22.200001,11.484992,64075.0
2007-07-02,22.200001,22.200001,22.18,22.200001,11.484992,414012.0
2007-07-03,21.1,22.209999,21.1,21.709999,11.231494,712531.0
2007-07-04,21.700001,21.75,21.4,21.4,11.071119,753257.0
2007-07-05,21.4,21.450001,21.1,21.23,10.983171,78204.0
2007-07-06,21.25,21.25,21.049999,21.09,10.910743,429750.0
2007-07-09,21.15,21.5,21.139999,21.200001,10.96765,1155366.0
2007-07-10,21.25,21.4,21.24,21.299999,11.019384,917632.0
2007-07-11,21.299999,21.700001,21.200001,21.299999,11.019384,690832.0
2007-07-12,21.4,21.4,21.200001,21.25,10.993517,482218.0
