Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,38.000000,44.959999,33.750000,41.500000,38.185608,4952506
2020-10-16,42.200001,43.485001,41.110001,42.250000,38.875710,428297
2020-10-19,42.994999,42.994999,40.275002,41.500000,38.185608,92311
2020-10-20,40.105000,42.000000,40.105000,41.799999,38.461655,276481
2020-10-21,42.450001,42.549999,41.099998,41.750000,38.415638,129435
2020-10-22,41.849998,42.000000,41.750000,42.000000,38.645683,10417
2020-10-23,43.450001,43.450001,42.000000,42.799999,39.381783,15599
2020-10-26,43.049999,43.700001,42.099998,43.500000,40.025875,108409
2020-10-27,43.500000,44.950001,43.450001,44.000000,40.485947,44272
2020-10-28,44.000000,44.349998,42.500000,42.500000,39.105747,21378
2020-10-29,42.099998,43.000000,42.099998,42.549999,39.151752,14612
2020-10-30,42.799999,43.000000,42.500000,42.950001,39.519810,19521
2020-11-02,45.000000,45.000000,43.049999,44.099998,40.577961,9303
2020-11-03,45.000000,45.000000,43.500000,43.500000,40.025875,13984
2020-11-04,42.549999,44.200001,42.500000,43.500000,40.025875,19311
2020-11-05,42.650002,44.950001,42.650002,44.099998,40.577961,19064
2020-11-06,44.349998,44.700001,44.250000,44.599998,41.038029,34780
2020-11-09,44.500000,45.250000,43.900002,43.950001,40.439945,27147
2020-11-10,44.250000,44.500000,43.049999,44.250000,40.715984,29845
2020-11-11,44.000000,45.049999,44.000000,45.000000,41.406082,66624
2020-11-12,45.049999,46.500000,45.000000,45.450001,41.820145,30998
2020-11-13,45.500000,46.900002,45.500000,46.549999,42.832291,61901
2020-11-16,46.700001,48.950001,46.700001,48.599998,44.718567,23391
2020-11-17,49.000000,50.400002,49.000000,50.000000,46.006760,16964
2020-11-18,51.500000,55.000000,50.500000,54.500000,50.147369,86374
2020-11-19,54.200001,55.799999,51.200001,52.000000,47.847031,82826
2020-11-20,52.099998,52.200001,51.599998,51.700001,47.570984,12121
2020-11-23,51.700001,51.799999,51.500000,51.599998,47.478977,12730
2020-11-24,51.900002,52.200001,51.500000,51.900002,47.755013,19625
2020-11-25,51.900002,52.400002,51.200001,51.500000,47.386963,32064
2020-11-26,51.200001,51.599998,51.099998,51.200001,47.110920,7907
2020-11-27,51.200001,51.500000,50.500000,50.799999,46.742870,3171
2020-11-30,51.000000,52.000000,50.799999,51.000000,46.926895,78868
2020-12-01,51.000000,51.099998,50.700001,51.000000,46.926895,72320
2020-12-02,51.000000,51.400002,50.599998,51.000000,46.926895,104919
2020-12-03,51.000000,51.000000,50.599998,50.900002,46.834885,18742
2020-12-04,52.000000,52.000000,50.500000,50.900002,46.834885,13661
2020-12-07,50.599998,51.500000,50.400002,50.900002,46.834885,32035
2020-12-08,51.000000,51.000000,50.400002,50.599998,46.558842,52234
2020-12-09,50.900002,51.000000,50.599998,50.900002,46.834885,4712
2020-12-10,50.700001,50.799999,49.799999,49.799999,45.822727,15725
2020-12-11,51.000000,51.000000,49.599998,49.599998,45.638706,7350
2020-12-14,49.599998,52.000000,49.599998,51.000000,46.926895,57733
2020-12-15,51.000000,52.000000,50.900002,52.000000,47.847031,45275
2020-12-16,52.000000,52.599998,52.000000,52.599998,48.399109,113663
2020-12-17,53.099998,54.200001,52.400002,53.799999,49.503269,34755
2020-12-18,54.099998,54.900002,53.900002,54.599998,50.239380,33756
2020-12-21,54.599998,60.000000,54.299999,58.000000,53.367844,47101
2020-12-22,58.000000,58.400002,57.000000,58.400002,53.735897,13534
2020-12-23,59.000000,60.000000,58.799999,60.000000,55.208111,18119
2020-12-24,60.000000,62.400002,58.500000,60.099998,55.300117,7003
2020-12-29,60.500000,65.400002,60.000000,65.400002,60.176838,33150
2020-12-30,65.000000,66.800003,65.000000,66.800003,61.465038,11314
2020-12-31,67.000000,67.599998,66.599998,67.099998,61.741066,16492
2021-01-04,69.000000,69.000000,65.000000,65.800003,60.544891,30426
2021-01-05,67.000000,67.000000,65.900002,66.599998,61.281006,6283
2021-01-06,67.000000,67.000000,65.900002,66.000000,60.728916,13089
2021-01-07,66.199997,66.199997,65.199997,65.199997,59.992813,110207
2021-01-08,65.699997,65.699997,64.800003,65.599998,60.360863,2166
2021-01-11,64.000000,65.500000,63.500000,65.500000,60.268856,17091
2021-01-12,65.699997,65.800003,64.800003,64.800003,59.624760,10567
2021-01-13,65.099998,65.500000,64.500000,65.000000,59.808784,5088
2021-01-14,64.599998,64.900002,64.199997,64.199997,59.072674,6605
2021-01-15,63.900002,64.599998,61.299999,62.099998,57.140396,33873
2021-01-18,60.000000,62.400002,60.000000,61.500000,56.588310,4774
2021-01-19,61.900002,61.900002,60.099998,61.000000,56.128250,50207
2021-01-20,61.000000,61.299999,60.599998,61.000000,56.128250,45771
2021-01-21,60.799999,63.500000,60.799999,63.500000,58.428585,20531
2021-01-22,65.000000,65.000000,62.500000,63.700001,58.612614,5092
2021-01-25,63.700001,65.400002,63.700001,64.800003,59.624760,63380
2021-01-26,64.500000,65.900002,64.500000,65.300003,60.084831,18321
2021-01-27,64.800003,65.199997,62.099998,63.000000,57.968517,19508
2021-01-28,60.000000,62.599998,60.000000,62.500000,57.508450,20095
2021-01-29,62.500000,63.599998,62.500000,63.000000,57.968517,32930
2021-02-01,62.500000,66.000000,62.500000,64.900002,59.716774,53506
2021-02-02,66.000000,67.099998,64.699997,65.199997,59.992813,19991
2021-02-03,65.000000,66.000000,64.800003,65.300003,60.084831,20294
2021-02-04,65.199997,67.500000,65.000000,67.000000,61.649063,14635
2021-02-05,66.099998,68.400002,66.099998,67.400002,62.017117,6498
2021-02-08,67.000000,68.300003,67.000000,68.300003,62.845238,5555
2021-02-09,68.199997,71.000000,68.199997,69.800003,64.225433,8811
